Indicator,Units,RangeLower,RangeUpper,IncreaserDecreaser
AugTempAvg,Degrees C,0,100,Increases with stress
BankAngleAvg,Degrees,0,180,
BankfullDepthAvg,cm,0,inf,
BankfullHeightAvg,cm,0,inf,
BankfullWidthAvg,m,0,inf,
BenchDepthAvg,cm,0,inf,
BenchHeightAvg,cm,0,inf,
ChannelIncision,,,,
D16,mm,0,,
D50,mm,0,,
D84,mm,0,,
EntrenchmentRiffle1,,,,
EntrenchmentRiffle2,,,,
ExpectedInvertRichness,,,,
FloodplainConnectivity,Unitless,1,inf,Increases with stress
GeometricMeanParticleDiam,,,,
InstantTemp,Degrees C,0,100,Increases with stress
InstreamHabitatComplexity,,,,
LgWoodAboveChanCount,Count,0,inf,
LgWoodAboveChanFreq,,0,inf,
LgWoodAboveChanVol,,0,inf,
LgWoodInChanCount,Count,0,inf,
LgWoodInChanFreq,,0,inf,Decreases with stress
LgWoodInChanVol,,0,inf,
MacroinvertebrateCount,Count,0,inf,
MMI_Macroinvertebrate,,,,Decreases with stress
ObservedInvertRichness,,,,
OE_Macroinvertebrate,,,,Decreases with stress
PctBankCoveredMIM,%,0,100,Decreases with stress
PctBankCoveredOld,%,0,100,Decreases with stress
PctBankCoveredStableMIM,%,0,100,Decreases with stress
PctBankCoveredStableOld,%,0,100,Decreases with stress
PctBankOverheadCover,%,0,100,Decreases with stress
PctBankStable,%,0,100,Decreases with stress
PctBanksUndercut,%,0,100,
PctDry,%,0,100,
PctEquisetumSpecies,%,0,100,
PctFinesLessThan2mm,%,0,100,Increases with stress
PctFinesLessThan6mm,%,0,100,
PctNativeWoodySpecies,%,0,100,Decreases with stress
PctNoxiousHerbSpecies,%,0,100,
PctNoxiousWoodySpecies,%,0,100,Increases with stress
PctOverheadCover,%,0,100,
PctPools,%,0,100,
PctPoolTailFinesLessThan2mm,%,0,100,
PctPoolTailFinesLessThan6mm,%,0,100,
PctSedgeRushSpecies,%,0,100,
PctSlope,,,,
pH,pH,0,14,Decreases and increases with stress
PoolCount,,,,
PoolFreq,,,,
ResPoolDepthAvg,cm,,,
Sinuosity,,,,
SpecificConductance,,,,
SpecificConductance_Modeled,,,,
ThalwegDepthAvg,cm,,,
ThalwegDepthCV,,,,
TotalNitrogen,,,,Increases with stress
TotalNitrogen_Modeled,,,,Increases with stress
TotalPhosphorous,,,,Increases with stress
TotalPhosphorous_Modeled,,,,Increases with stress
TurbidityAvg,,,,
VegComplexity,,,,
VegComplexityUnderstoryGround,,,,
VegComplexityWoody,,,,
WettedWidthAvg,m,,,
WettedWidthWithBarAvg,m,,,
