X,Y,OBJECTID,Project,BLM_AdminState,District,FieldOffice,EvaluationID,PointID,StreamName,FieldEvalDate,SampledMidLatitude,SampledMidLongitude,BottomReachLatitude,BottomReachLongitude,TopReachLatitude,TopReachLongitude,ProtocolReachLength,ProtocolType,ProtocolVersion,FieldStatus,PointSelectionType,OriginalDesign,OriginalStratum,StreamOrder,EcoregionStreamSize,PctOverheadCover,PctBankOverheadCover,VegComplexity,VegComplexityWoody,VegComplexityUnderstoryGround,PctNoxiousWoodySpecies,PctNativeWoodySpecies,PctNoxiousHerbSpecies,PctSedgeRushSpecies,PctEquisetumSpecies,InvasiveInvertSpecies,ObservedInvertRichness,ExpectedInvertRichness,OE_Macroinvertebrate,MMI_Macroinvertebrate,OE_MMI_ModelUsed,OE_MMI_ModelApplicability,MacroinvertebrateCount,TotalNitrogen,TotalPhosphorous,SpecificConductance,pH,InstantTemp,AugTempAvg,TurbidityAvg,PoolCount,PctPools,PoolFreq,ResPoolDepthAvg,LgWoodInChanCount,LgWoodInChanFreq,LgWoodInChanVol,LgWoodAboveChanCount,LgWoodAboveChanFreq,LgWoodAboveChanVol,PctFinesLessThan2mm,PctFinesLessThan6mm,D16,D84,D50,GeometricMeanParticleDiam,PctPoolTailFinesLessThan2mm,PctPoolTailFinesLessThan6mm,PctBankCoveredMIM,PctBankStable,PctBankCoveredStableMIM,PctBankCoveredOld,PctBankCoveredStableOld,BankfullHeightAvg,BenchHeightAvg,BankfullDepthAvg,BenchDepthAvg,ChannelIncision,FloodplainConnectivity,InstreamHabitatComplexity,BankAngleAvg,PctBanksUndercut,ThalwegDepthCV,ThalwegDepthAvg,PctDry,BankfullWidthAvg,WettedWidthAvg,WettedWidthWithBarAvg,EntrenchmentRiffle1,EntrenchmentRiffle2,PctSlope,Sinuosity,HumanInfluence,BeaverFlowMod,BeaverSigns,WaterWithdrawals,SideChannels,CoreSubset,GreenlineVegComposition,EvaluationID_OLD,RecordID,GlobalID
-107.5509387,42.38716972,3876,WY_LanderFO,WY,Wind River Bighorn Basin District,Lander Field Office,LA-TR-39448_2022-05-25,LA-TR-39448,Willow Creek,2022/05/25 12:25:00+00,42.38717629,-107.5509497,42.38750561,-107.5504354,42.38702571,-107.5515414,150,Wadeable,https://aim.landscapetoolbox.org/wp-content/uploads/2020/05/Lotic_FieldProtocolForWadeableSystems_TR1735-2.pdf,Full Reach,Targeted,,,2,EasternXericBasin_SmallWadeable,23.5,48.7,,,,,100,41,100,55,,,,,,,,,,,230.6,7.85,13.4,16.39,,7,22.61,46.7,0.23,0,0,0,0,0,0,59.1,71.6,1,11,2,4,,,62,81,60,,,0.31,0.4,0.54,0.62,-0.73,1.17,,125,14,0.26,0.24,0,2.76,2.01,2.01,3,3,0.96,1.42,"LandfillTrash, LivestockHorseBurro, PastureHayFence",None,Rare,Absent,Absent,No,Yes,,LA-TR-39448_2022-05-25,{8D023F4F-BE1B-4F4F-AFA7-F52C4B38E2CB}
-107.5194685,42.40696991,3877,WY_LanderFO,WY,Wind River Bighorn Basin District,Lander Field Office,LA-SS-39493_2022-05-28,LA-SS-39493,Willow Creek,2022/05/28 11:00:00+00,42.40697648,-107.5194795,42.40700644,-107.5194891,42.40662501,-107.5201333,150,Wadeable,https://aim.landscapetoolbox.org/wp-content/uploads/2020/05/Lotic_FieldProtocolForWadeableSystems_TR1735-2.pdf,Partial Reach,RandomGRTS,,,2,EasternXericBasin_SmallWadeable,37.7,37.3,,,,,100,,92,0,,,,,,,,,,,249.4,8.02,13.8,16.64,,4,68.93,53.3,0.52,0,0,0,0,0,0,89.1,90,1,2,1,2,,,62,86,62,,,0.22,0.27,0.63,0.68,-0.83,1.07,,136,0,0.46,0.42,0,3.23,2.59,2.66,3,,1.03,,"LandfillTrash, LivestockHorseBurro",Major,Common,Absent,Absent,No,Yes,,LA-SS-39493_2022-05-28,{C66F385F-7A1F-4AF6-8864-DEFA0DB9B555}
-107.5091156,42.41686714,3878,WY_LanderFO,WY,Wind River Bighorn Basin District,Lander Field Office,LA-TR-98170_2022-05-29,LA-TR-98170,Willow Creek,2022/05/29 08:40:00+00,42.41687372,-107.5091266,42.41730163,-107.5085287,42.41665298,-107.5096449,150,Wadeable,https://aim.landscapetoolbox.org/wp-content/uploads/2020/05/Lotic_FieldProtocolForWadeableSystems_TR1735-2.pdf,Full Reach,Targeted,,,2,EasternXericBasin_SmallWadeable,37.1,55,,,,,100,9,100,23,,,,,,,,,,,250.5,7.48,10.8,16.83,,5,17.01,33.3,0.23,4,2.667,0.116,0,0,0,64.8,68.1,1,19,2,3,,,68,73,61,,,0.21,0.31,0.39,0.49,-0.7,1.25,,128,4,0.55,0.17,0,2.78,1.93,1.98,1.67,1.72,0.79,1.29,"LandfillTrash, LivestockHorseBurro, PastureHayFence, RoadRailroadCulvert",None,Absent,Absent,Absent,No,Yes,,LA-TR-98170_2022-05-29,{764DD7AB-9EDD-406C-A341-13AB6370DDC8}
-107.5963262,42.36102504,3879,WY_LanderFO,WY,Wind River Bighorn Basin District,Lander Field Office,LA-TR-81793_2022-05-30,LA-TR-81793,Willow Creek,2022/05/30 09:08:00+00,42.3610316,-107.5963372,42.36160652,-107.5962884,42.36083762,-107.5969918,150,Wadeable,https://aim.landscapetoolbox.org/wp-content/uploads/2020/05/Lotic_FieldProtocolForWadeableSystems_TR1735-2.pdf,Partial Reach,Targeted,,,2,EasternXericBasin_SmallWadeable,49.8,55.5,,,,,100,7,100,93,,,,,,,,,,,214.4,7.61,6.7,14.87,,3,32.52,33.3,0.26,20,22.222,0.97,0,0,0,87.7,94.6,1,2,2,2,,,62,88,62,,,0.24,0.31,0.46,0.53,-0.78,1.15,,149,7,0.27,0.23,0,3.33,2.31,2.31,2.68,3,2.19,,"LandfillTrash, LivestockHorseBurro",Major,Common,Absent,Absent,No,Yes,,LA-TR-81793_2022-05-30,{BD07DB92-1AEE-4BC8-957B-5909AFF80BCA}
-108.4550004,42.42060764,3911,WY_LanderFO,WY,Wind River Bighorn Basin District,Lander Field Office,LA-SS-67717_2022-06-07,LA-SS-67717,Mormon Creek,2022/06/07 11:56:00+00,42.42061414,-108.4550116,42.4210782,-108.4546092,42.42011816,-108.4553873,150,Wadeable,https://aim.landscapetoolbox.org/wp-content/uploads/2020/05/Lotic_FieldProtocolForWadeableSystems_TR1735-2.pdf,Full Reach,RandomGRTS,,,1,EasternXericBasin_SmallWadeable,39.8,43.6,,,,,82,,100,0,,,,,,,,,,,318.9,7.3,16.3,14.37,,8,34.5,53.3,0.23,0,0,0,0,0,0,76.7,80.5,1,10,1,3,,,98,100,98,,,0.18,0.25,0.3,0.37,-0.78,1.26,,146,4,0.67,0.14,0,1.05,0.57,0.57,3,3,3.01,1.21,LivestockHorseBurro,None,Absent,Absent,Absent,No,Yes,,LA-SS-67717_2022-06-07,{BE376A93-E457-4CC6-B825-0FA63CE9476F}
-108.7096929,42.45774552,3912,WY_LanderFO,WY,Wind River Bighorn Basin District,Lander Field Office,LA-TR-7416_2022-06-08,LA-TR-7416,Spring Gulch,2022/06/08 10:44:00+00,42.457752,-108.7097042,42.45724126,-108.7099148,42.45819038,-108.7091705,150,Wadeable,https://aim.landscapetoolbox.org/wp-content/uploads/2020/05/Lotic_FieldProtocolForWadeableSystems_TR1735-2.pdf,Partial Reach,Targeted,,,2,EasternXericBasin_SmallWadeable,46.5,47.4,,,,,100,,100,0,,,,,,,,,,,168.3,5.72,13.8,13.45,,4,9.53,26.7,0.14,27,22.5,1.073,2,1.667,0.103,89.4,92,1,2,1,2,,,57,32,25,,,0.26,0.36,0.35,0.45,-0.7,1.27,,133,15,0.34,0.11,0,1.35,0.52,0.54,1.37,3,4.57,,"LandfillTrash, LivestockHorseBurro",Minor,Absent,Absent,Absent,No,Yes,,LA-TR-7416_2022-06-08,{67EC3FDF-38DE-475B-A47D-17FB8873A0BC}
-108.7770776,42.46396183,3913,WY_LanderFO,WY,Wind River Bighorn Basin District,Lander Field Office,LA-LS-18473_2022-06-09,LA-LS-18473,Willow Creek,2022/06/09 10:10:00+00,42.46396831,-108.7770889,42.46370182,-108.776359,42.46368468,-108.7778741,150,Wadeable,https://aim.landscapetoolbox.org/wp-content/uploads/2020/05/Lotic_FieldProtocolForWadeableSystems_TR1735-2.pdf,Full Reach,RandomGRTS,,,3,EasternXericBasin_SmallWadeable,20.2,62.7,,,,,96,,100,50,,,,,,,,,,,63.9,6.54,11.9,12.08,,4,31.75,26.7,0.5,22,14.667,1.728,2,1.333,0.082,41.4,41.8,1,85,23,11,,,67,88,64,,,0.2,0.36,0.68,0.84,-0.59,1.23,,122,27,0.34,0.41,0,5.04,3.9,3.9,3,2.81,1.1,1.21,"LandfillTrash, LivestockHorseBurro, Recreation",Minor,Common,Absent,Present,No,Yes,,LA-LS-18473_2022-06-09,{656423FB-6A19-4BA8-A234-5FDE95101230}
-108.5173699,42.44840141,3914,WY_LanderFO,WY,Wind River Bighorn Basin District,Lander Field Office,LA-SS-66949_2022-06-11,LA-SS-66949,Deep Creek,2022/06/11 08:51:00+00,42.44840791,-108.5173812,42.44826859,-108.5170409,42.44854001,-108.5179051,150,Wadeable,https://aim.landscapetoolbox.org/wp-content/uploads/2020/05/Lotic_FieldProtocolForWadeableSystems_TR1735-2.pdf,Full Reach,RandomGRTS,,,1,EasternXericBasin_SmallWadeable,0,0,,,,,0,41,100,0,,,,,,,,,,,224.4,6.46,13.8,14.36,,10,30.92,66.7,0.32,0,0,0,0,0,0,98.1,98.1,1,1,1,1,,,100,98,98,,,0.12,0.2,0.25,0.34,-0.73,1.35,,166,0,0.6,0.2,0,1.55,0.76,0.76,3,3,0.73,1.95,"Buildings, LandfillTrash, LivestockHorseBurro, Mining, RoadRailroadCulvert",None,Absent,Absent,Absent,No,Yes,,LA-SS-66949_2022-06-11,{D253F4AA-D317-4CBF-8F08-9C070A72E24D}
-108.5371239,42.43370581,3915,WY_LanderFO,WY,Wind River Bighorn Basin District,Lander Field Office,LA-SS-20869_2022-06-12,LA-SS-20869,Strawberry Creek,2022/06/12 09:59:00+00,42.4337123,-108.5371352,42.43373126,-108.5366101,42.43379768,-108.5376955,150,Wadeable,https://aim.landscapetoolbox.org/wp-content/uploads/2020/05/Lotic_FieldProtocolForWadeableSystems_TR1735-2.pdf,Full Reach,RandomGRTS,,,2,EasternXericBasin_SmallWadeable,80.7,87.7,,,,,100,68,100,23,,,,,,,,,,,188.6,7.42,14.9,14.59,,9,50.15,60,0.47,0,0,0,0,0,0,70,72.4,1,12,2,3,,,26,60,21,,,0.45,0.67,0.73,0.96,-0.49,1.31,,119,9,0.57,0.27,0,3.3,1.92,1.96,3,3,0.63,1.68,"LandfillTrash, LivestockHorseBurro",Minor,Common,Absent,Absent,No,Yes,,LA-SS-20869_2022-06-12,{0F7E5280-624E-43D0-8214-FD9BB20D3751}
-108.5842676,42.45468079,3916,WY_LanderFO,WY,Wind River Bighorn Basin District,Lander Field Office,LA-TR-35217_2022-06-13,LA-TR-35217,Strawberry Creek,2022/06/13 08:48:00+00,42.45468728,-108.5842789,42.45450161,-108.5839347,42.45502892,-108.584692,150,Wadeable,https://aim.landscapetoolbox.org/wp-content/uploads/2020/05/Lotic_FieldProtocolForWadeableSystems_TR1735-2.pdf,Full Reach,Targeted,,,2,EasternXericBasin_SmallWadeable,4,14.2,,,,,86,45,100,14,,,,,,,,,,,,,13.9,14.06,,8,45.94,53.3,0.37,0,0,0,0,0,0,60,61.4,1,30,2,4,,,45,76,38,,,0.27,0.36,0.48,0.57,-0.73,1.15,,129,23,0.89,0.22,0,2.26,1.36,1.36,3,3,0.77,1.76,"LandfillTrash, LivestockHorseBurro, RoadRailroadCulvert",None,Absent,Absent,Absent,No,Yes,,LA-TR-35217_2022-06-13,{60643808-3E9F-4003-BD5E-49B74A3CA570}
-108.8994475,42.79521522,4130,WY_LanderFO,WY,Wind River Bighorn Basin District,Lander Field Office,LA-SS-49321_2022-07-05,LA-SS-49321,Baldwin Creek,2022/07/05 11:56:00+00,42.79522173,-108.8994589,42.79549886,-108.8988253,42.79500796,-108.9002591,150,Wadeable,https://aim.landscapetoolbox.org/wp-content/uploads/2020/05/Lotic_FieldProtocolForWadeableSystems_TR1735-2.pdf,Full Reach,RandomGRTS,,,2,NorthernRockies_SmallWadeable,66.7,91.4,,,,,100,8,12,17,,,,,,,,,,,51,7.4,9.9,10.96,,3,15.04,20,0.59,33,22,8.718,22,14.667,10.334,1.8,2.3,45,510,185,150,,,88,100,88,,,0.25,0.27,0.75,0.77,-0.92,1.03,,105,36,0.33,0.46,0,5.72,5.11,5.11,2.76,2.6,6.34,1.16,None,None,Absent,Absent,Present,No,Yes,,LA-SS-49321_2022-07-05,{6B4717D0-AD0F-4CFB-AE70-18618F3AC395}
-108.0797299,42.72290162,4131,WY_LanderFO,WY,Wind River Bighorn Basin District,Lander Field Office,LA-TR-39692_2022-07-07,LA-TR-39692,West Long Creek,2022/07/07 08:58:00+00,42.72290819,-108.0797411,42.72351378,-108.0797071,42.72290101,-108.0804743,150,Wadeable,https://aim.landscapetoolbox.org/wp-content/uploads/2020/05/Lotic_FieldProtocolForWadeableSystems_TR1735-2.pdf,Full Reach,Targeted,,,1,EasternXericBasin_SmallWadeable,0,0,,,,,0,18,100,0,,,,,,,,,,,2133,8.43,20.6,14.76,,0,0,0,,0,0,0,0,0,0,92.4,93.3,1,1,1,1,,,48,100,48,,,0.16,0.22,0.29,0.35,-0.79,1.23,,167,0,0.37,0.16,0,5.22,2.87,2.87,1.97,1.42,0.14,1.62,"LivestockHorseBurro, RoadRailroadCulvert",None,Absent,Absent,Absent,No,Yes,,LA-TR-39692_2022-07-07,{DD5EF396-B0FE-4706-9111-CF19A5559EA9}
-108.5402574,42.45895737,4132,WY_LanderFO,WY,Wind River Bighorn Basin District,Lander Field Office,LA-TR-55880_2022-07-08,LA-TR-55880,Deep Creek,2022/07/08 11:06:00+00,42.45896387,-108.5402687,42.45882177,-108.5396235,42.45935153,-108.5407687,150,Wadeable,https://aim.landscapetoolbox.org/wp-content/uploads/2020/05/Lotic_FieldProtocolForWadeableSystems_TR1735-2.pdf,Full Reach,Targeted,,,1,EasternXericBasin_SmallWadeable,65.1,66,,,,,100,,100,30,,,,,,,,,,,109.9,7.09,17.3,14.02,,2,10.37,13.3,0.24,0,0,0,0,0,0,91.9,94.7,1,1,1,1,,,21,79,21,,,0.23,0.33,0.34,0.44,-0.7,1.34,,125,14,0.75,0.1,0,1.48,0.71,0.71,2.47,2.11,1.42,1.35,"LandfillTrash, LivestockHorseBurro, RoadRailroadCulvert",Minor,Common,Absent,Absent,No,Yes,,LA-TR-55880_2022-07-08,{68133610-7223-4FD2-B381-001289192FA5}
-108.5362059,42.45753774,4133,WY_LanderFO,WY,Wind River Bighorn Basin District,Lander Field Office,LA-SS-37253_2022-07-09,LA-SS-37253,Deep Creek,2022/07/09 08:48:00+00,42.45754424,-108.5362172,42.45725633,-108.5357244,42.45797225,-108.5366936,150,Wadeable,https://aim.landscapetoolbox.org/wp-content/uploads/2020/05/Lotic_FieldProtocolForWadeableSystems_TR1735-2.pdf,Full Reach,RandomGRTS,,,1,EasternXericBasin_SmallWadeable,19,22.5,,,,,68,,100,68,,,,,,,,,,,105.1,7.23,13.6,14.13,,1,8.33,6.7,0.47,0,0,0,0,0,0,96.2,96.7,1,1,1,1,,,50,67,40,,,0.19,0.28,0.3,0.38,-0.73,1.36,,146,4,0.81,0.1,0,1.35,0.57,0.57,3,1.29,1.4,1.33,"LandfillTrash, LivestockHorseBurro",None,Absent,Absent,Absent,No,Yes,,LA-SS-37253_2022-07-09,{B9EECDBA-4D77-4D42-A5EB-636870AEF02E}
